Timestamp,Label,EXG Channel 0 (Fp1),EXG Channel 1 (Fp2),EXG Channel 2 (C3),EXG Channel 3 (C4),EXG Channel 4 (P7),EXG Channel 5 (P8),EXG Channel 6 (O1),EXG Channel 7 (O2),EXG Channel 8 (F7),EXG Channel 9 (F8),EXG Channel 10 (F3),EXG Channel 11 (F4),EXG Channel 12 (T7),EXG Channel 13 (T8),EXG Channel 14 (P3),EXG Channel 15 (P4)
1679627740.433163,1,-32164.584954,-34613.687946,-61169.683775,-45571.094223,-187500.022352,-32340.023797,-187500.022352,-40897.545623,-35419.557741,-187500.022352,187500.0,-187500.022352,-20996.200561,-48679.350159,-52418.349972,-31020.019176
1679627740.433214,1,-32175.738475,-34622.673347,-61177.082202,-45579.699645,-187500.022352,-32347.355169,-187500.022352,-40908.073295,-35413.992156,-187500.022352,187500.0,-187500.022352,-20998.391032,-48677.69613,-52419.422855,-30986.312745
1679627740.433335,1,-32183.047495,-34633.513943,-61174.601158,-45570.602485,-187500.022352,-32340.403776,-187500.022352,-40900.741923,-35417.769601,-187500.022352,187500.0,-187500.022352,-21009.097518,-48689.363741,-52421.501568,-31038.77229
1679627740.433369,1,-32167.155405,-34622.427478,-61181.820772,-45568.859049,-187500.022352,-32343.01893,-187500.022352,-40901.054847,-35407.398392,-187500.022352,187500.0,-187500.022352,-20993.36189,-48683.909915,-52414.214899,-31010.944368
1679627740.4334,1,-32179.225347,-34633.804516,-61174.601158,-45559.717185,-187500.022352,-32335.128765,-187500.022352,-40895.936298,-35409.588863,-187500.022352,187500.0,-187500.022352,-21000.223875,-48689.654313,-52421.635678,-31017.180504
1679627740.433429,1,-32161.83569,-34627.233103,-61175.51758,-45567.473241,-187500.022352,-32346.505802,-187500.022352,-40895.645725,-35397.585976,-187500.022352,187500.0,-187500.022352,-20994.099497,-48684.848688,-52413.566698,-31035.330121
1679627740.43346,1,-32174.844405,-34632.239894,-61173.617682,-45569.12727,-187500.022352,-32349.053901,-187500.022352,-40907.670964,-35411.175836,-187500.022352,187500.0,-187500.022352,-21003.934265,-48696.382188,-52419.86989,-31005.915225
1679627740.433493,1,-32174.129149,-34619.432344,-61163.537045,-45562.242933,-187500.022352,-32338.727395,-187500.022352,-40899.087894,-35403.442133,-187500.022352,187500.0,-187500.022352,-20989.562093,-48686.055682,-52414.058437,-31046.014255
1679627740.433515,1,-32153.76671,-34624.081507,-61165.615757,-45568.076738,-187500.022352,-32351.669055,-187500.022352,-40905.480493,-35407.89013,-187500.022352,187500.0,-187500.022352,-20996.357023,-48689.721369,-52413.946678,-31009.446801
1679627740.433536,1,-32183.49453,-34628.104821,-61158.373792,-45559.873648,-187500.022352,-32343.667131,-187500.022352,-40899.736094,-35412.002851,-187500.022352,187500.0,-187500.022352,-20992.691337,-48687.553249,-52413.07496,-31012.039603
1679627740.433556,1,-32155.68896,-34623.634472,-61165.839275,-45566.467412,-187500.022352,-32352.004332,-187500.022352,-40908.207406,-35409.722973,-187500.022352,187500.0,-187500.022352,-20995.686471,-48684.401653,-52411.644448,-31023.796621
1679627740.433578,1,-32161.187489,-34620.348766,-61156.80917,-45559.851296,-187500.022352,-32342.258971,-187500.022352,-40895.422208,-35407.666613,-187500.022352,187500.0,-187500.022352,-20993.943035,-48687.933229,-52416.450073,-30988.302051
1679627740.4336,1,-32164.27203,-34635.436193,-61158.127923,-45564.567514,-187500.022352,-32345.343512,-187500.022352,-40898.752618,-35401.944566,-187500.022352,187500.0,-187500.022352,-20990.702032,-48689.184927,-52412.002076,-31026.098851
1679627740.433748,1,-32142.36732,-34619.141772,-61166.196903,-45570.602485,-187500.022352,-32349.724454,-187500.022352,-40901.010144,-35400.71522,-187500.022352,187500.0,-187500.022352,-21001.073241,-48693.476462,-52416.584184,-30993.889987
